FIPS,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020
17047,11.770999999999999,13.44,14.8,19.480999999999998,18.462,22.604,18.348,12.163,15.257,20.352,16.226,17.965,21.185,15.539000000000001,9.852,13.529000000000002,11.616,14.454,13.437000000000001,14.895999999999999,8.115,0.45299999999999996,5.874,6.284,8.636000000000001,7.586,8.258,2.645,0.71,7.4479999999999995,6.449,6.882000000000001,8.918,7.97,1.5190000000000001,1.051,8.392000000000001,6.872000000000001,9.086,5.968999999999999,12.968,4.319,0.406,7.324,9.397,9.73,12.2,11.302999999999999,6.565,2.745,14.925,12.985999999999999,13.942,13.011,3.89,1.226,13.071,14.79,11.22,12.345,13.261,10.738,5.651,12.218,10.725,14.888,17.107,13.112,12.157,7.627999999999999,11.149000000000001,15.835999999999999,12.040999999999999,15.138,13.583,9.232999999999999,2.9610000000000003,13.164000000000001,11.335,13.690999999999999,14.172,21.055999999999997,10.964,8.472999999999999,6.704,10.936,16.47,14.904000000000002,9.198,6.1610000000000005,15.197000000000001,14.864
17049,8.011000000000001,9.264,10.421,11.392999999999999,11.312000000000001,12.274000000000001,14.241,7.995,9.21,11.454,11.158,10.549000000000001,10.942,8.046,7.22,7.781000000000001,8.597000000000001,8.243,8.967,10.151,6.684,2.004,6.117999999999999,7.595,6.782,8.107000000000001,8.152999999999999,3.8739999999999997,3.569,6.037999999999999,7.402,8.445,8.439,8.693,3.696,3.063,6.336,7.848,6.632000000000001,7.1160000000000005,7.51,6.138,0.846,4.42,6.646,6.91,6.319,6.5889999999999995,5.86,4.092,7.858,8.186,9.133,8.103,4.721,3.912,6.593999999999999,7.41,7.689,8.542,9.99,9.231,5.534,6.191,8.023,9.12,9.687999999999999,9.396,7.789,7.25,6.888999999999999,9.326,7.697,9.332,9.8,8.237,5.247999999999999,7.6370000000000005,8.797,9.07,11.866,12.542,9.027000000000001,6.7620000000000005,6.63,7.5089999999999995,10.773,9.437000000000001,9.113999999999999,9.022,8.169,11.937999999999999
17051,10.905999999999999,11.197000000000001,15.44,16.694000000000003,15.501,18.016,13.027000000000001,10.607000000000001,11.384,15.908,15.007,16.114,17.972,11.437999999999999,4.6419999999999995,13.88,7.434,10.515999999999998,12.052999999999999,15.039000000000001,6.813,0.986,5.757000000000001,4.474,5.194,5.672000000000001,7.446000000000001,3.633,2.1519999999999997,3.9739999999999998,6.029,9.035,9.087,7.476,4.016,5.459,5.004,8.939,10.206,9.04,9.734,4.71,2.7769999999999997,3.8989999999999996,7.015,6.011,10.354000000000001,9.166,4.522,3.449,11.544,12.780999999999999,10.732000000000001,10.708,6.16,2.986,8.801,9.805,8.946,11.248,12.06,8.725,5.603,9.93,8.458,14.068,12.174000000000001,10.835,12.841,5.2410000000000005,8.388,10.797,11.515999999999998,12.556,11.369000000000002,10.343,5.95,9.687999999999999,8.677999999999999,13.637,12.412,15.279000000000002,10.878,8.862,7.524,12.110999999999999,12.607999999999999,13.207,9.464,9.677999999999999,12.892000000000001,12.013
17053,14.839,15.475,17.697,19.62,19.528,23.176,23.358,11.119000000000002,17.301,16.734,16.809,17.915,23.093000000000004,7.805,5.856,14.390999999999998,8.964,8.027000000000001,6.865,11.878,2.414,0.07200000000000001,1.399,2.5610000000000004,4.7860000000000005,2.4019999999999997,4.87,0.8690000000000001,0.34,2.4019999999999997,2.88,1.849,4.357,6.127000000000001,1.252,1.35,2.496,3.285,3.782,5.444,8.142999999999999,3.1060000000000003,0.40299999999999997,1.7080000000000002,2.6830000000000003,2.215,6.846,6.082999999999999,2.762,1.324,6.737,6.51,8.34,10.302999999999999,2.7880000000000003,2.0180000000000002,3.995,7.59,5.906000000000001,4.942,7.513,5.291,2.174,2.408,8.19,9.97,9.15,8.976,9.654,3.138,2.479,7.718,6.5329999999999995,5.365,6.632999999999999,7.843,1.26,4.395,4.124,8.565,7.973,11.494000000000002,6.422000000000001,4.962,2.043,8.122,7.8420000000000005,8.301,5.2170000000000005,3.325,8.78,12.03
17055,9.675,13.139000000000001,14.195,13.046,13.276,15.161,15.127,9.948,11.72,12.972999999999999,11.784,11.015,14.867,10.139,6.902,11.208,10.958,9.817,6.391,10.468,3.9339999999999997,0.522,4.1419999999999995,4.502,5.757000000000001,5.89,5.834,2.6660000000000004,2.362,5.807,5.6129999999999995,5.76,6.274,5.718999999999999,2.399,1.5019999999999998,5.398,5.792999999999999,5.31,6.015,5.896,3.472,0.9540000000000001,3.7460000000000004,6.27,5.716,7.037999999999999,7.44,8.204,2.0269999999999997,6.689,5.2,4.274,7.519,3.734,2.269,6.454,5.931,6.801,7.542000000000001,10.345,8.286,3.85,6.2860000000000005,8.746,10.668,9.226,7.7379999999999995,10.072000000000001,6.931,7.568,8.368,5.691,7.165,8.167,6.773,3.409,7.775,6.956,9.12,10.385,11.489,8.198,7.047000000000001,5.867999999999999,8.027999999999999,8.955,9.412,7.23,7.064,9.652999999999999,9.391
17057,5.941,10.367,9.336,10.168,10.164,13.918,12.334000000000001,5.2010000000000005,9.066,7.553999999999999,8.184,7.587999999999999,11.649000000000001,4.961,2.991,5.976,4.387,2.8,4.13,5.278,1.5390000000000001,0.26,2.02,1.66,2.476,1.679,3.008,0.755,0.588,3.13,2.198,2.543,2.194,4.127,1.295,1.208,2.7739999999999996,3.263,2.793,2.019,3.3960000000000004,2.254,0.9740000000000001,2.15,1.936,2.202,2.62,2.167,2.026,2.029,3.633,3.8819999999999997,4.018,3.955,1.002,2.022,3.3930000000000002,2.92,2.7119999999999997,3.9539999999999997,7.644,5.819,2.9939999999999998,3.91,3.2239999999999998,6.252999999999999,4.6610000000000005,7.684,6.294,2.625,3.93,5.981,3.292,3.103,6.728,3.577,1.87,3.98,3.0060000000000002,5.99,4.928999999999999,7.861000000000001,5.012,4.004,2.2569999999999997,4.572,5.968,4.588,3.2239999999999998,4.308,6.843999999999999,5.527
17061,10.086,15.38,14.46,14.637,13.63,19.29,16.325,11.867,15.591,12.183,12.422,13.965,16.194000000000003,11.720999999999998,16.41,12.450999999999999,10.253,11.308,6.337000000000001,9.33,4.6819999999999995,0.068,1.449,1.266,4.021,2.8080000000000003,7.478,0.732,0.598,2.617,6.068,7.347,3.472,5.115,4.742,1.0759999999999998,4.118,4.801,3.9739999999999998,2.215,6.797999999999999,2.878,0.647,5.192,6.428,4.662,4.0089999999999995,6.473,4.702,5.025,7.867999999999999,8.74,7.0089999999999995,8.055,2.842,4.684,7.207000000000001,6.072,5.6160000000000005,7.973,11.216,7.834,6.361000000000001,8.151,5.601,10.555,12.972999999999999,9.424,6.334,8.033999999999999,5.013999999999999,13.454,5.818,2.6660000000000004,5.853,6.135,4.902,8.664,6.505,10.833,10.725999999999999,12.850999999999999,8.599,6.82,4.925,9.302999999999999,11.547,9.104,6.229,8.214,10.853,12.29
17063,10.215,16.175,15.866,15.054,15.698,16.339000000000002,14.66,8.691,13.783,14.122,15.212,14.972000000000001,15.342,10.495999999999999,5.739,12.784,10.418,6.5120000000000005,8.177,10.229,2.324,0.06,2.238,3.0410000000000004,3.114,3.216,3.0989999999999998,0.7759999999999999,0.311,2.641,2.379,2.924,3.0410000000000004,3.2910000000000004,1.544,0.9840000000000001,3.161,4.242,3.2310000000000003,3.448,4.791,2.292,0.354,3.0039999999999996,3.7030000000000003,3.225,3.7489999999999997,3.992,2.7239999999999998,1.361,6.112,8.033999999999999,7.769,6.064,1.912,2.306,7.082999999999999,5.906000000000001,3.048,4.7780000000000005,7.736000000000001,4.19,3.767,5.218999999999999,4.391,9.673,6.524,6.251,6.474,3.032,5.08,6.796,4.852,3.904,6.667999999999999,4.677,1.565,4.652,4.86,6.376,8.646,10.253,3.623,3.608,2.15,6.121,8.339,7.358,6.3660000000000005,3.648,6.108,7.787999999999999
17065,7.172999999999999,12.49,15.155999999999999,11.949000000000002,11.922,17.006,20.842,8.04,10.74,10.694,12.595999999999998,10.775,16.229,12.755,4.28,9.888,9.084,5.4079999999999995,6.57,7.38,6.335,0.287,2.153,4.3180000000000005,6.265,4.655,5.207000000000001,3.7739999999999996,3.347,1.9269999999999998,3.968,9.849,7.105,9.23,5.43,1.327,9.235,9.482000000000001,7.966,8.79,9.052999999999999,4.691,3.34,4.444,4.734,8.033,7.774,11.508,7.582999999999999,0.897,8.404,5.797999999999999,6.812,10.152999999999999,3.8080000000000003,2.6910000000000003,9.934,7.6770000000000005,9.402000000000001,9.332,14.195,11.262,8.316,7.006,10.350999999999999,9.998,9.116,10.104,12.045,9.366,5.871,11.936,7.6129999999999995,8.656,10.753,10.956,5.803999999999999,9.915,7.437,9.64,12.042,15.124,15.41,6.69,6.028,9.708,12.312999999999999,10.462,10.122,6.73,10.45,10.592
17067,10.918,15.66,16.861,14.762,12.259,18.842,13.960999999999999,8.732000000000001,12.932,14.645,14.362,14.828,17.948,7.8,7.4079999999999995,12.857000000000001,10.559000000000001,8.002,10.705,8.884,5.073,0.371,5.34,7.167999999999999,6.763999999999999,7.002000000000001,6.582000000000001,1.4980000000000002,0.304,4.78,7.857,6.345,5.577999999999999,6.206,2.5780000000000003,0.804,4.106,6.542000000000001,6.154,6.5489999999999995,8.076,3.502,0.941,5.419,6.486000000000001,6.308,7.167999999999999,6.297999999999999,4.99,3.91,7.247999999999999,7.386,8.645,7.601,4.881,3.931,8.631,7.107,7.454,9.738999999999999,10.338,9.734,6.93,8.243,9.522,10.512,10.265999999999998,9.886000000000001,10.315999999999999,5.627999999999999,9.28,12.123,6.672999999999999,7.792999999999999,10.538,8.293,7.513,9.16,8.708,9.898,11.235999999999999,13.622,9.177999999999999,9.104,5.921,10.377,9.998,9.711,5.899,5.9879999999999995,10.567,10.419
