FIPS,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20
01001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017899013764341585,0.017899013764341585,0.017899013764341585,0.017899013764341585,0.017899013764341585,0.017899013764341585,0.017899013764341585,0.017899013764341585,0.017899013764341585,0.017899013764341585,0.03579802752868317,0.03579802752868317,0.03579802752868317,0.017899013764341585,0.017899013764341585,0.03579802752868317,0.03579802752868317,0.03579802752868317,0.03579802752868317,0.03579802752868317,0.05369704129302475,0.07159605505736634,0.07159605505736634,0.07159605505736634,0.05369704129302475,0.05369704129302475,0.05369704129302475,0.05369704129302475,0.05369704129302475,0.05369704129302475,0.05369704129302475,0.07159605505736634,0.07159605505736634,0.07159605505736634,0.07159605505736634,0.07159605505736634,0.07159605505736634,0.07159605505736634,0.07159605505736634,0.07159605505736634,0.07159605505736634,0.07159605505736634,0.07159605505736634,0.05369704129302475,0.05369704129302475,0.05369704129302475,0.05369704129302475,0.05369704129302475,0.05369704129302475,0.05369704129302475,0.05369704129302475,0.05369704129302475,0.05369704129302475,0.07159605505736634,0.07159605505736634,0.08949506882170792,0.08949506882170792,0.08949506882170792,0.08949506882170792,0.08949506882170792,0.08949506882170792,0.08949506882170792
01003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004479604361342806,0.004479604361342806,0.004479604361342806,0.004479604361342806,0.004479604361342806,0.004479604361342806,0.004479604361342806,0.004479604361342806,0.004479604361342806,0.004479604361342806,0.004479604361342806,0.004479604361342806,0.004479604361342806,0.004479604361342806,0.004479604361342806,0.004479604361342806,0.008959208722685612,0.008959208722685612,0.008959208722685612,0.008959208722685612,0.008959208722685612,0.008959208722685612,0.013438813084028419,0.013438813084028419,0.013438813084028419,0.013438813084028419,0.013438813084028419,0.013438813084028419,0.013438813084028419,0.013438813084028419,0.013438813084028419,0.013438813084028419,0.013438813084028419,0.017918417445371225,0.017918417445371225,0.017918417445371225,0.017918417445371225,0.02239802180671403,0.02239802180671403,0.02239802180671403,0.02239802180671403,0.02239802180671403,0.02239802180671403,0.026877626168056837,0.03135723052939964,0.03135723052939964,0.03583683489074245,0.03583683489074245,0.03583683489074245,0.03583683489074245,0.03583683489074245,0.03583683489074245,0.03583683489074245,0.03583683489074245,0.04031643925208526,0.04031643925208526,0.04031643925208526,0.04031643925208526,0.04031643925208526,0.04031643925208526,0.04031643925208526,0.04031643925208526,0.04031643925208526,0.04031643925208526,0.04031643925208526,0.04031643925208526,0.04031643925208526,0.04031643925208526,0.04031643925208526,0.04031643925208526,0.04031643925208526
01005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843,0.04050879040751843
01007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705,0.044654818254889705
01009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017293259087607652,0.017293259087607652,0.017293259087607652,0.017293259087607652,0.017293259087607652,0.017293259087607652,0.017293259087607652,0.017293259087607652,0.017293259087607652,0.017293259087607652,0.017293259087607652,0.017293259087607652,0.017293259087607652,0.017293259087607652,0.017293259087607652,0.017293259087607652,0.017293259087607652,0.017293259087607652,0.017293259087607652,0.017293259087607652,0.017293259087607652,0.017293259087607652
01011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099000099000099,0.099000099000099,0.099000099000099,0.099000099000099,0.099000099000099,0.099000099000099,0.099000099000099,0.099000099000099,0.099000099000099,0.099000099000099,0.099000099000099,0.099000099000099,0.099000099000099,0.099000099000099,0.099000099000099,0.099000099000099,0.099000099000099,0.099000099000099,0.099000099000099,0.297000297000297,0.297000297000297,0.297000297000297,0.297000297000297,0.396000396000396,0.396000396000396,0.495000495000495,0.594000594000594,0.594000594000594,0.594000594000594,0.594000594000594,0.693000693000693,0.693000693000693,0.693000693000693
01013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05141916906622789,0.05141916906622789,0.05141916906622789,0.05141916906622789,0.05141916906622789,0.05141916906622789,0.05141916906622789,0.05141916906622789,0.05141916906622789,0.10283833813245578,0.10283833813245578,0.10283833813245578,0.15425750719868367,0.30851501439736734,0.30851501439736734,0.30851501439736734,0.30851501439736734,0.30851501439736734,0.41135335252982314,0.46277252159605103,0.46277252159605103,0.46277252159605103,0.5141916906622789,0.5141916906622789,0.5656108597285068,0.5656108597285068,0.5656108597285068,0.5656108597285068,0.5656108597285068,0.6170300287947347,0.6684491978609626,0.6684491978609626,0.6684491978609626,0.8227067050596463,0.8741258741258742,0.9255450431921021,0.9255450431921021,0.9255450431921021,0.9255450431921021,0.9255450431921021,1.0798025503907858,1.1312217194570136,1.1312217194570136
01015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017604858941067735,0.017604858941067735,0.017604858941067735,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016,0.0264072884116016
01017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09021471101220906,0.09021471101220906,0.12028628134961207,0.12028628134961207,0.12028628134961207,0.1503578516870151,0.1804294220244181,0.1804294220244181,0.21050099236182113,0.24057256269922414,0.24057256269922414,0.24057256269922414,0.24057256269922414,0.24057256269922414,0.24057256269922414,0.24057256269922414,0.3007157033740302,0.3007157033740302,0.33078727371143324,0.33078727371143324,0.33078727371143324,0.39093041438623927,0.39093041438623927,0.4811451253984483,0.4811451253984483,0.4811451253984483,0.5112166957358514,0.5112166957358514,0.5412882660732543,0.5412882660732543,0.5713598364106574,0.5713598364106574,0.6315029770854634,0.6315029770854634,0.6315029770854634,0.6315029770854634,0.6315029770854634,0.6315029770854634,0.6615745474228665,0.6315029770854634,0.6315029770854634,0.6315029770854634,0.6315029770854634,0.6315029770854634,0.6315029770854634,0.6615745474228665,0.6615745474228665,0.6615745474228665,0.6615745474228665,0.6615745474228665,0.6615745474228665,0.6615745474228665,0.6916461177602694,0.6916461177602694,0.6916461177602694,0.6916461177602694,0.6916461177602694,0.7217176880976724,0.7217176880976724,0.7217176880976724,0.7217176880976724,0.7217176880976724,0.7517892584350755,0.7517892584350755,0.7517892584350755,0.7818608287724785,0.7818608287724785,0.7818608287724785,0.7818608287724785,0.7818608287724785,0.7818608287724785
01019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07634753397465262,0.07634753397465262,0.07634753397465262,0.07634753397465262,0.07634753397465262,0.07634753397465262,0.07634753397465262,0.11452130096197893,0.11452130096197893,0.11452130096197893,0.11452130096197893,0.11452130096197893,0.11452130096197893,0.11452130096197893,0.11452130096197893,0.15269506794930524,0.15269506794930524
