FIPS,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20
12001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3716877971179328,0.3716877971179328,0.3716877971179328,0.3716877971179328,0.3716877971179328,0.7433755942358656,0.7433755942358656,0.7433755942358656,0.7433755942358656,1.8584389855896641,1.8584389855896641,1.8584389855896641,1.8584389855896641,1.8584389855896641,1.8584389855896641,1.8584389855896641,1.8584389855896641,1.8584389855896641,1.8584389855896641,1.8584389855896641,1.8584389855896641,1.8584389855896641,1.8584389855896641,1.8584389855896641,2.230126782707597,2.60181457982553,2.60181457982553,2.60181457982553,2.60181457982553,2.60181457982553,2.60181457982553,2.60181457982553,2.60181457982553,2.60181457982553,2.60181457982553,2.60181457982553,2.60181457982553,2.60181457982553,2.60181457982553,2.60181457982553,2.60181457982553,2.60181457982553,2.60181457982553,2.9735023769434625,2.9735023769434625,2.9735023769434625,2.9735023769434625,2.9735023769434625,2.9735023769434625
12086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036806112759207046,0.07361222551841409,0.11041833827762115,0.11041833827762115,0.25764278931444934,0.25764278931444934,0.736122255184141,0.9201528189801762,1.1409894955354185,1.1409894955354185,1.3618261720906608,1.509050623127489,1.8034995252011454,2.281978991070837,2.7236523441813216,3.3493562610878413,3.5701929376430837,4.011866290753568,4.600764094900881,5.373692462844229,6.73551863493489,7.177191988045375,7.287610326322996,7.61886534115586,8.207763145303172,8.575824272895243,8.833467062209692,9.937650444985904,10.563354361892424,10.85780326396608,11.078639940521322,11.115446053280529,11.925180533983085,12.440466112611983,12.95575169124088,13.176588367796123,13.507843382628987,13.581455608147401,13.912710622980265,14.980087892997268,15.900240711977446,16.70997519268,17.2252607713089,17.740546349937798,17.924576913733834,18.034995252011456,18.58708694339956,19.065566409269252,19.691270326175772,20.16974979204546,20.57461703239674,20.648229257915155,20.83225982171119,21.273933174821675,21.67880041517295,22.157279881042644,22.59895323415313,23.151044925541235,23.22465715105965,23.298269376578062,23.298269376578062,24.108003857280618,24.623289435909516,25.212187240056828,25.764278931444935,25.764278931444935,25.837891156963348,26.57401341214749,26.905268426980353,27.45736011836846,27.972645696997358,28.156676260793393,28.156676260793393,28.230288486311807
12031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10441083575653481,0.10441083575653481,0.10441083575653481,0.10441083575653481,0.31323250726960444,0.31323250726960444,0.31323250726960444,0.31323250726960444,0.31323250726960444,0.31323250726960444,0.41764334302613926,0.41764334302613926,0.9396975218088133,0.9396975218088133,0.9396975218088133,0.9396975218088133,0.9396975218088133,0.9396975218088133,1.044108357565348,1.148519193321883,1.148519193321883,1.148519193321883,1.3573408648349525,1.3573408648349525,1.3573408648349525,1.4617517005914873,1.4617517005914873,1.5661625363480223,1.5661625363480223,1.5661625363480223,1.670573372104557,1.7749842078610918,1.7749842078610918,1.7749842078610918,1.8793950436176265,1.8793950436176265,1.8793950436176265,1.9838058793741615,2.088216715130696,2.088216715130696,2.088216715130696,2.297038386643766,2.401449222400301,2.5058600581568355,2.714681729669905,2.714681729669905,2.714681729669905,2.9235034011829746,3.02791423693951,3.02791423693951,3.02791423693951,3.02791423693951,3.02791423693951,3.341146744209114,3.341146744209114,3.341146744209114,3.5499684157221836,3.6543792514787183,3.6543792514787183,3.758790087235253,3.758790087235253,3.8632009229917883,4.280844266017928,4.280844266017928,4.280844266017928,4.489665937530997,4.594076773287532,4.802898444800602,4.802898444800602,4.907309280557136,5.011720116313671,5.220541787826741,5.324952623583275,5.324952623583275,5.324952623583275,5.324952623583275,5.42936345933981,5.533774295096345,5.63818513085288,5.742595966609414
39153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18483844195980503,0.7393537678392201,0.9241922097990252,0.9241922097990252,0.9241922097990252,1.2938690937186352,1.2938690937186352,1.2938690937186352,1.2938690937186352,1.6635459776382453,1.8483844195980503,2.2180613035176604,2.2180613035176604,2.2180613035176604,2.2180613035176604,2.5877381874372705,2.5877381874372705,2.7725766293970753,2.7725766293970753,2.7725766293970753,2.9574150713568805,3.1422535133166853,3.6967688391961007,3.8816072811559055,4.436122607035321,5.175476374874541,5.5451532587941506,5.914830142713761,6.469345468593176,6.469345468593176,7.023860794472591,7.2086992364323965,7.948053004271617,9.057083656030446,9.057083656030446,9.057083656030446,10.535791191708887,10.720629633668691,10.720629633668691,12.199337169347132,12.938690937186353,13.493206263065767,13.678044705025572,14.417398472864793,14.417398472864793,14.417398472864793,15.896106008543233,16.26578289246284,18.668682637940307,19.22319796381972,20.332228615578554,20.332228615578554,20.701905499498164,20.88674394145797,24.21383589673446,25.6925434324129,27.356089410051144,29.389312271609,29.389312271609,29.389312271609,29.389312271609,29.574150713568805,31.792212017086467,31.792212017086467,31.792212017086467,31.97705045904627,32.53156578492568,33.27091955276491,33.45575799472471,33.45575799472471,33.45575799472471,33.82543487864432,33.82543487864432,34.01027332060413
39035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08096693957923101,0.08096693957923101,0.16193387915846202,0.16193387915846202,0.16193387915846202,0.16193387915846202,0.24290081873769304,0.24290081873769304,0.32386775831692405,0.48580163747538607,0.728702456213079,0.9716032749507721,1.052570214530003,1.052570214530003,1.133537154109234,1.2145040936884652,1.538371852005389,1.862239610322313,1.862239610322313,1.862239610322313,1.7812726707430822,1.862239610322313,1.9432065499015443,2.6719090061146233,3.1577106435900095,3.4006114623277024,3.8864130998030886,4.210280858120012,4.291247797699244,4.453181676857706,5.181884133070785,6.39638822675925,6.720255985076173,7.367991501710022,7.367991501710022,7.367991501710022,7.772826199606177,8.82539641413618,8.906363353715411,9.068297232873872,9.311198051611566,9.311198051611566,9.716032749507722,9.796999689086952,10.36376826614157,10.606669084879263,11.011503782775417,11.578272359830034,11.740206238988495,11.821173178567728,11.902140118146958,12.226007876463882,12.387941755622345,12.711809513939269,13.116644211835423,13.197611151414655,14.007280547206964,14.169214426365427,14.816949942999274,15.383718520053892,16.355321795004663,16.517255674163124,16.76015649290082,16.92209037205928,17.569825888693128,17.893693647010053,18.136594465747745,18.29852834490621,18.29852834490621,18.29852834490621,18.29852834490621,19.513032438594674,19.836900196911596,19.998834076070057,20.97043735102083,21.456238988496217,21.456238988496217,21.69913980723391,22.913643900922377
38017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5496831076884177,0.5496831076884177,0.5496831076884177,0.5496831076884177,0.5496831076884177,0.5496831076884177,0.5496831076884177,0.5496831076884177,0.5496831076884177,0.5496831076884177,0.5496831076884177,0.5496831076884177,0.5496831076884177,0.5496831076884177,0.5496831076884177,1.0993662153768353,1.0993662153768353,1.0993662153768353,1.0993662153768353,1.0993662153768353,1.0993662153768353,1.0993662153768353,1.0993662153768353,1.0993662153768353,1.0993662153768353,3.298098646130506,3.847781753818923,4.397464861507341,4.397464861507341,4.9471479691957585,5.496831076884177,6.596197292261012,6.596197292261012,6.596197292261012,6.596197292261012,6.596197292261012,6.596197292261012,6.596197292261012,6.596197292261012,6.596197292261012,9.344612830703099,9.344612830703099,9.344612830703099,9.894295938391517,9.894295938391517,11.54334526145677,12.642711476833606,12.642711476833606,13.74207769221044,14.291760799898858,14.291760799898858,14.291760799898858,14.841443907587276,15.391127015275693,17.589859446029365,18.689225661406198,18.689225661406198,19.238908769094618,19.788591876783034,20.338274984471454,20.338274984471454,20.338274984471454,21.987324307536706,23.08669052291354,23.63637363060196,24.186056738290375,24.186056738290375,29.682887815174553,30.23257092286297,30.23257092286297,32.43130335361664,32.98098646130506,32.98098646130506,32.98098646130506
39041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4780640318964322,0.4780640318964322,0.4780640318964322,0.4780640318964322,0.4780640318964322,0.4780640318964322,0.4780640318964322,0.4780640318964322,0.4780640318964322,0.4780640318964322,0.9561280637928644,0.9561280637928644,0.9561280637928644,0.9561280637928644,0.9561280637928644,0.9561280637928644,1.4341920956892966,1.4341920956892966,1.4341920956892966,1.4341920956892966,1.4341920956892966,1.4341920956892966,1.4341920956892966,1.4341920956892966,1.4341920956892966,1.4341920956892966,1.4341920956892966,1.4341920956892966,1.4341920956892966,1.4341920956892966,1.9122561275857288,1.9122561275857288,1.9122561275857288,1.9122561275857288,1.9122561275857288,1.9122561275857288,1.9122561275857288,1.9122561275857288,1.9122561275857288,1.9122561275857288,1.9122561275857288,1.9122561275857288,1.9122561275857288,1.9122561275857288,1.9122561275857288,1.9122561275857288,2.3903201594821613,2.3903201594821613,2.3903201594821613,4.30257628706789,4.30257628706789,4.7806403189643225,5.2587043508607545,5.2587043508607545,5.2587043508607545,6.2148324146536185,6.2148324146536185,6.2148324146536185,6.2148324146536185,6.2148324146536185,6.2148324146536185,6.2148324146536185,6.2148324146536185,6.2148324146536185,6.2148324146536185,6.692896446550051,6.692896446550051,6.692896446550051,6.692896446550051,6.692896446550051,6.692896446550051
39061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24465639843762424,0.24465639843762424,0.24465639843762424,0.3669845976564364,1.1009537929693092,1.4679383906257455,1.5902665898445576,1.7125947890633697,1.7125947890633697,2.0795793867198062,2.0795793867198062,2.5688921835950547,2.935876781251491,3.3028613789079273,3.5475177773455515,3.6698459765643636,3.6698459765643636,4.0368305742208,4.526143371096048,4.770799769533673,5.504768964846545,5.749425363284169,6.238738160159418,6.605722757815855,6.850379156253479,6.850379156253479,7.095035554691103,8.318317546879225,8.68530214453566,9.174614941410908,9.541599539067345,9.78625593750497,9.78625593750497,10.153240535161405,11.376522527349527,11.376522527349527,12.232819921881212,12.1104917226624,12.355148121100024,12.355148121100024,12.477476320318836,12.844460917975272,12.844460917975272,13.33377371485052,13.578430113288146,13.578430113288146,13.700758312506958,14.312399308601018,14.312399308601018,15.046368503913891,15.168696703132703,15.658009500007951,15.658009500007951,15.658009500007951,15.658009500007951,16.024994097664386,16.514306894539637,17.98224528516538,18.104573484384193,18.349229882821817,18.47155808204063,19.08319907813469,20.061824671885187,20.428809269541624,20.918122066416874,20.918122066416874,20.918122066416874,21.040450265635684
39045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6346224630967038,0.6346224630967038,0.6346224630967038,1.2692449261934076,1.2692449261934076,1.2692449261934076,1.2692449261934076,1.2692449261934076,1.2692449261934076,1.2692449261934076,1.2692449261934076,1.2692449261934076,1.2692449261934076,1.2692449261934076,1.2692449261934076,1.2692449261934076,1.2692449261934076,1.2692449261934076,1.2692449261934076,1.2692449261934076,1.2692449261934076,1.2692449261934076,1.9038673892901112,1.9038673892901112,1.2692449261934076,1.2692449261934076,1.2692449261934076,1.2692449261934076,1.9038673892901112,1.9038673892901112,1.9038673892901112,1.9038673892901112,1.9038673892901112,1.9038673892901112,1.9038673892901112,1.9038673892901112,1.9038673892901112,1.9038673892901112,1.9038673892901112,1.9038673892901112,1.9038673892901112,1.9038673892901112,1.9038673892901112,1.9038673892901112,2.538489852386815,3.173112315483519,3.8077347785802225,3.8077347785802225,3.8077347785802225,3.8077347785802225,4.442357241676927,5.07697970477363,5.07697970477363,5.07697970477363,5.07697970477363,5.711602167870334,5.711602167870334
39151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2698283352131374,0.2698283352131374,0.5396566704262749,0.5396566704262749,0.5396566704262749,0.5396566704262749,0.5396566704262749,0.5396566704262749,0.8094850056394122,0.8094850056394122,0.8094850056394122,1.0793133408525497,1.349141676065687,1.349141676065687,1.8887983464919618,1.8887983464919618,1.8887983464919618,2.1586266817050994,2.1586266817050994,2.9681116873445115,2.9681116873445115,3.2379400225576487,4.587081698623336,4.587081698623336,5.666395039475885,5.936223374689023,6.206051709902161,6.475880045115297,6.745708380328435,7.555193385967847,7.555193385967847,8.094850056394122,9.174163397246671,9.174163397246671,9.174163397246671,9.443991732459809,9.713820067672946,10.52330507331236,13.49141676065687,13.761245095870008,14.031073431083145,14.300901766296283,14.300901766296283,15.380215107148832,15.919871777575107,16.189700112788245,16.72935678321452,18.078498459280205,18.078498459280205,18.078498459280205,18.348326794493342,18.348326794493342,18.61815512970648,18.887983464919618,19.96729680577217,19.96729680577217,20.77678181141158,21.316438481837857,21.316438481837857,21.316438481837857,21.58626681705099,24.01472183396923,24.01472183396923,24.01472183396923,24.284550169182367,24.554378504395505,24.554378504395505,24.554378504395505,24.554378504395505,24.554378504395505,24.824206839608642,26.443176850887465,26.713005186100602,27.252661856526878,27.522490191740015,27.522490191740015,27.522490191740015,27.522490191740015
