FIPS,Name,ToxPi Score,HClust Group,KMeans Group,Source,Infection Rate: Transmissible Cases!25!0xcc3333ff,Infection Rate: Disease Spread!5!0xe64d4dff,Pop Concentration: Pop Mobility!10!0x57b757ff,Pop Concentration: Residential Density!10!0x5ced5cff,Intervention: Social Distancing!10!0x4258c9ff,Intervention: Testing!10!0x6079f7ff,Health & Environment: Pop Demographics!10!0x6b0b9eff,Health & Environment: Air Pollution!10!0x8e26c4ff,Health & Environment: Age Distribution!10!0x9a42c8ff,Health & Environment: Co-morbidities!10!0xb460e0ff,Health & Environment: Health Disparities!10!0xc885ecff,Health & Environment: Hospital Beds!5!0xdeb9f1ff
17031,"Illinois, Cook",0.601302338361719,5,9,"-87.8166,41.8414",0.7173099503225586,0.268782113595334,0.8223579545686296,0.8758,0.825,0.4376969195069447,0.6204805193272244,0.7185628742514971,0.4833394486037307,0.24747305218334945,0.3495823889441025,0.4166402790638907
17115,"Illinois, Macon",0.5200326070388566,7,3,"-88.9634,39.8606",0.47126416243542,0.22994652406417102,0.6376808879895165,0.6425,1.0,0.4376969195069447,0.4974044912659008,0.5269461077844312,0.5978576089534523,0.3629156411051292,0.30935077533969396,0.3898429758400045
17197,"Illinois, Will",0.4996388625826087,8,10,"-87.9786,41.4462",0.6515036447497905,0.28004690248192304,0.6954881410902873,0.1465,1.0,0.4376969195069447,0.5136111120658728,0.6167664670658684,0.4316532862111269,0.2524477388863176,0.11753275043684712,0.5300136078078131
17143,"Illinois, Peoria",0.5033371911454021,7,3,"-89.7608,40.787",0.39673928809569603,0.21468926553672302,0.6661074059209801,0.6444,1.0,0.4376969195069447,0.5407952713969375,0.532934131736527,0.5357771420024626,0.3653022315126581,0.29983330729575386,0.3393512538753209
17089,"Illinois, Kane",0.5436244810804687,10,9,"-88.4286,41.9384",0.7485596068555275,0.46802480070859204,0.7000308932260715,0.2958,1.0,0.4376969195069447,0.5142449681911166,0.5868263473053893,0.4467440848690857,0.2173906468209588,0.2534259090738817,0.475469654038589
17043,"Illinois, DuPage",0.5133289791232853,8,9,"-88.0864,41.8512",0.6788641382463856,0.34801699716713896,0.7772635862998097,0.3079,1.0,0.4376969195069447,0.417252705181129,0.6107784431137724,0.4990893333193936,0.1776125519062838,0.07466638272254633,0.4863669455833076
17201,"Illinois, Winnebago",0.5813493008425709,5,9,"-89.1609,42.3364",0.7115616365645979,0.523636363636364,0.6912481519759303,0.5539999999999999,1.0,0.4376969195069447,0.5386684023904593,0.5089820359281437,0.5494974081927578,0.3612228118415313,0.37059658257672784,0.4284633497799271
17093,"Illinois, Kendall",0.4541237665863754,8,10,"-88.4287,41.5908",0.6608752769245705,0.406205923836389,0.6464548823427142,0.0478,1.0,0.4376969195069447,0.4819861695458318,0.562874251497006,0.3453966168814669,0.21918202281198504,0.07986506551412335,0.0
1073,"Alabama, Jefferson",0.5764832646645343,10,3,"-86.8951,33.5555",0.5380494024638046,0.30545229244114,0.713171571974757,0.6211,1.0,0.7004618424570894,0.5905968650968513,0.6227544910179641,0.5117241638959221,0.4236007378769181,0.35635079449146795,0.3368613782312537
26161,"Michigan, Washtenaw",0.4690346659741272,7,9,"-83.8385,42.2531",0.4680464445484221,0.101788170563961,0.7196138640784427,0.7873,0.75,0.5067534940850843,0.4999155712533015,0.4790419161676647,0.4555137084840577,0.15405394556009225,0.10430032005143758,0.3708606166869454
26163,"Michigan, Wayne",0.5787960874477313,5,3,"-83.2813,42.281",0.5778197193612354,0.0919528949950932,0.8117573040218584,0.6587,1.0,0.5067534940850843,0.6277077665718496,0.502994011976048,0.504194780386106,0.4444355427141149,0.47411481163266705,0.42753527161655297
36029,"New York, Erie",0.5191181825717096,8,9,"-78.7306,42.7625",0.5975445260599737,0.20849626733025198,0.7630551413961555,0.6355,1.0,0.20564173288926127,0.5687628246027425,0.4610778443113772,0.5627304600978258,0.3174731480457995,0.16069181507384336,0.4318697338286088
1117,"Alabama, Shelby",0.4717529688527501,8,10,"-86.6623,33.2688",0.438475429529997,0.152424942263279,0.6273675709870115,0.1764,1.0,0.7004618424570894,0.5070940498336849,0.5389221556886228,0.4939129750014257,0.3134737148345345,0.0941261509282648,0.5455052119442204
25027,"Massachusetts, Worcester",0.5146330903702923,5,9,"-71.9049,42.3503",0.7045795603164944,0.260024415438069,0.6618428763866011,0.7931,1.0,0.2822279606942842,0.41463707371570335,0.29341317365269465,0.5092312328105775,0.2284646000861723,0.12064461257587385,0.4757819823929527
1089,"Alabama, Madison",0.4930973719355064,7,4,"-86.5507,34.7633",0.34621497415041746,0.165540540540541,0.6752706592030234,0.3836,1.0,0.7004618424570894,0.6346671043808639,0.5149700598802395,0.4939129750014257,0.3709593574804382,0.2263406030977934,0.4304536840932843
1097,"Alabama, Mobile",0.6013778347492542,5,3,"-88.2084,30.7847",0.5990751629426272,0.268036072144289,0.6704170491020561,0.723,1.0,0.7004618424570894,0.6842760495622291,0.4670658682634731,0.5191044408593759,0.4579981866608403,0.4678370046721896,0.39071309871942506
25013,"Massachusetts, Hampden",0.5405698158147093,5,9,"-72.6324,42.1344",0.655694265728749,0.17419021364576198,0.6903240035513901,0.843,1.0,0.2822279606942842,0.5248082488230783,0.311377245508982,0.5357771420024626,0.3053303234388767,0.3251718269455341,0.4255503511490077
25009,"Massachusetts, Essex",0.5175414153369918,5,9,"-70.9469,42.6688",0.6873241032093819,0.163160558085737,0.7143902080257107,0.8045,1.0,0.2822279606942842,0.4575520194434646,0.2874251497005988,0.542700408721451,0.1905117740698255,0.13797142723958014,0.5041964135023214
36119,"New York, Westchester",0.5152742164290289,5,9,"-73.7574,41.1628",0.6315184070253258,0.0507765105556904,0.8257911096139291,0.9386,0.75,0.20564173288926127,0.5966747240849553,0.44311377245508987,0.5449798764246452,0.1129981010129638,0.18925397576975372,0.4593802805422066
1125,"Alabama, Tuscaloosa",0.5841205904995266,10,3,"-87.5256,33.2873",0.5796922425883609,0.44950495049504996,0.6387607359927754,0.809,1.0,0.7004618424570894,0.5765381669303161,0.4970059880239522,0.4437744133187831,0.38609856524902825,0.3753562199842618,0.40105673513889467
25005,"Massachusetts, Bristol",0.5138191313441672,5,9,"-71.1087,41.7923",0.6945527453915257,0.254858329624685,0.6729603414079433,0.6466,1.0,0.2822279606942842,0.4538639589523053,0.23353293413173656,0.542700408721451,0.28397597229720306,0.2052558249397773,0.4756214247324632
25021,"Massachusetts, Norfolk",0.4621926661016211,5,9,"-71.2053,42.1607",0.6096627225611324,0.12159049581767499,0.7249923749109072,0.6603,0.825,0.2822279606942842,0.3919806775142294,0.3053892215568862,0.540406913436432,0.1554867342579493,0.026527013697613733,0.5602907517805876
2020,"Alaska, Anchorage",0.4207529615775219,3,4,"-149.1427,61.15",0.21494604618802898,0.058252427184465994,0.6681951083221583,0.8176,1.0,0.43863031387868057,0.7185197689240339,0.0,0.3606106398115555,0.2811994654943071,0.18476294500321186,0.44680489844554055
4013,"Arizona, Maricopa",0.5724920630797699,10,3,"-112.4918,33.3484",0.5049206560933459,0.296000966533768,0.7290967809323895,0.7259,1.0,0.9379169046276228,0.6107802475859518,0.4550898203592814,0.4990893333193936,0.2254291882913324,0.3222160698319449,0.4806606400979146
35001,"New Mexico, Bernalillo",0.4856649818112794,8,9,"-106.6704,35.0516",0.4652226251668982,0.19745699326851202,0.7254474668284645,0.659,1.0,0.24899217326552414,0.6119202109818931,0.23353293413173656,0.5166605513962695,0.2224024577990043,0.3537419374344066,0.4746589625043835
18097,"Indiana, Marion",0.6098809941806338,10,3,"-86.1383,39.7816",0.6408575620558347,0.196671046868156,0.7837495252057766,0.6839,1.0,0.7849483356625994,0.5935093193310049,0.5868263473053893,0.4285603903886945,0.40108744908474697,0.4630601427132378,0.3947829779856172
18003,"Indiana, Allen",0.5540057233096352,10,10,"-85.068,41.0919",0.5840191098846569,0.341935483870968,0.6739398402346886,0.3878,1.0,0.7849483356625994,0.5136768651389199,0.5748502994011976,0.4833394486037307,0.3697772023254933,0.3085077359314863,0.394432594850394
18057,"Indiana, Hamilton",0.4441043801252248,8,10,"-86.0524,40.0731",0.4971521449475421,0.156021897810219,0.6886386109178446,0.035,1.0,0.7849483356625994,0.3495495832998238,0.5149700598802395,0.4094437997825015,0.17483612634315426,0.029666459209190726,0.4867209303919827
18163,"Indiana, Vanderburgh",0.5497589464550611,10,3,"-87.5876,38.0266",0.4417029212129865,0.235537190082645,0.6990751420096528,0.7096,1.0,0.7849483356625994,0.4534607432572845,0.5688622754491018,0.5380992168517501,0.4157718409796895,0.3029370991904099,0.3544125584279713
18089,"Indiana, Lake",0.6005271316593412,10,3,"-87.3828,41.4187",0.6284110908825306,0.25,0.7264389633209677,0.504,1.0,0.7849483356625994,0.5944084841491332,0.6766467065868265,0.5287228277828,0.41908126436396176,0.3971721381919737,0.35828539695435124
17167,"Illinois, Sangamon",0.4964767388122262,7,9,"-89.6587,39.7584",0.4576597080675777,0.21580547112461998,0.6515825895095673,0.6361,1.0,0.4376969195069447,0.4704137868214503,0.5089820359281437,0.5517358041566147,0.3241828059638334,0.19431678937252406,0.35779299632498746
17097,"Illinois, Lake",0.5418326953885585,5,9,"-88.0037,42.3225",0.7062032753555416,0.311227839789888,0.7175600927544179,0.5365,1.0,0.4376969195069447,0.5212312440295588,0.5748502994011976,0.4640817135884802,0.19104012227885048,0.14803851506058166,0.5215753549063012
18105,"Indiana, Monroe",0.5013491581015723,7,4,"-86.5241,39.1613",0.3161746886983435,0.0949367088607595,0.6737255391794048,0.8921,1.0,0.7849483356625994,0.3631053359671794,0.44311377245508987,0.43472072581226856,0.2494456317849925,0.3551862702739293,0.4652275779159047
33011,"New Hampshire, Hillsborough",0.4946525508924015,10,9,"-71.72,42.9154",0.6215643639176218,0.31360381861575204,0.6945385280826062,0.4998,1.0,0.6104648380966641,0.3338859485135741,0.2694610778443114,0.5067215141840639,0.2419690064847275,0.0938556170647365,0.44349507356480705
34017,"New Jersey, Hudson",0.5408032339040197,5,9,"-74.0752,40.7377",0.6488145066048091,0.0723555273054717,0.8556325850953306,0.8434,0.825,0.34923015831005866,0.5869882546909269,0.4131736526946108,0.41269877075759065,0.1914224270016436,0.3989619256711221,0.4506372388284116
32031,"Nevada, Washoe",0.512313994780359,7,3,"-119.6632,40.6656",0.5149275188748933,0.205370101596517,0.6674109575236982,0.772,0.825,0.7180233819969786,0.5062541285157797,0.3233532934131737,0.5239446622367122,0.20883958465362004,0.267592319680929,0.4030055174962053
36001,"New York, Albany",0.4946078556958017,5,9,"-73.9772,42.6006",0.585003320704596,0.196408529741863,0.7767778935520909,0.7297,1.0,0.20564173288926127,0.4796057874393345,0.3652694610778443,0.5380992168517501,0.23017550873337064,0.10820162072188216,0.3768288165991289
32003,"Nevada, Clark",0.5371410070835341,7,3,"-115.013,36.2146",0.5176836167786212,0.22638436482084698,0.7073273366977972,0.7443,0.75,0.7180233819969786,0.6042313239806841,0.38323353293413176,0.4886637078344629,0.2777732460076174,0.4069748351712813,0.4526679991284899
34031,"New Jersey, Passaic",0.5515680265832301,5,9,"-74.2995,41.0324",0.6618347921811906,0.0728675251816907,0.7927174868539018,0.9067,0.825,0.34923015831005866,0.6092525695258874,0.4011976047904192,0.4833394486037307,0.2173473590367107,0.3873687185042151,0.4628524872432634
34039,"New Jersey, Union",0.5270958587387489,5,9,"-74.3068,40.6584",0.6472631390003295,0.0733074032566418,0.8224708498686708,0.7905,0.75,0.34923015831005866,0.6148609654283366,0.44311377245508987,0.4833394486037307,0.1807977739419712,0.2872346922219587,0.42467804855080055
34013,"New Jersey, Essex",0.5433969467772195,5,9,"-74.2466,40.7868",0.6454578881851589,0.0910886487742535,0.8402131703681844,0.9411,0.575,0.34923015831005866,0.669795779609172,0.4131736526946108,0.4612475416970637,0.2746424235663724,0.41953032864082745,0.37867946995785867
35013,"New Mexico, Doña Ana",0.5255274821992552,5,9,"-106.8329,32.3528",0.5529940401415367,0.457002457002457,0.5944400348706843,0.9723,0.75,0.24899217326552414,0.4794317984404492,0.2874251497005988,0.5092312328105775,0.2684138930265543,0.5977937156404829,0.5001584017614971
20177,"Kansas, Shawnee",0.5661189119264871,10,3,"-95.7557,39.041",0.4996057872404062,0.37007874015748,0.6617078484567593,0.7755,1.0,0.8986900836467265,0.5791974407283141,0.39520958083832336,0.560557323866868,0.3950034723521125,0.19305012236056332,0.36703337730333596
18141,"Indiana, St. Joseph",0.5911077700274815,10,3,"-86.2904,41.6176",0.5974352474400522,0.298701298701299,0.6924789425953871,0.7157,1.0,0.7849483356625994,0.5432148410019714,0.5868263473053893,0.5142005305328247,0.3588845855693601,0.3324965975488379,0.4343163543527373
19013,"Iowa, Black Hawk",0.5395409957764028,10,9,"-92.3052,42.4705",0.6064975721316683,0.109188544152745,0.7228965495517508,0.6663,1.0,0.6544230436813797,0.4763197515286527,0.38323353293413176,0.5239446622367122,0.3274592002619101,0.21318935696172409,0.4113162952864598
18157,"Indiana, Tippecanoe",0.5563587122707664,10,3,"-86.8941,40.3887",0.5314065280820987,0.36856368563685604,0.6794334418504795,0.8424,1.0,0.7849483356625994,0.4258247221093605,0.4730538922155689,0.3927283612037091,0.30777124507406023,0.3307633017802838,0.40952488092968586
20173,"Kansas, Sedgwick",0.5147383753466086,7,4,"-97.4608,37.6843",0.3738618385003473,0.158273381294964,0.674470931211615,0.4588,1.0,0.8986900836467265,0.5846584051572747,0.4191616766467066,0.4752076683887773,0.34812336208036715,0.3075393066070127,0.5075739423915524
20045,"Kansas, Douglas",0.4837006638157029,7,4,"-95.2925,38.885",0.25247434653137873,0.111111111111111,0.6517191796936731,0.6991,1.0,0.8986900836467265,0.5851394838823794,0.407185628742515,0.4061601502796258,0.2257452396702948,0.2172800072463567,0.5369942053014256
19153,"Iowa, Polk",0.545494670011049,10,9,"-93.5777,41.6868",0.6939493750682166,0.39741518578352203,0.8104493494571693,0.6157,1.0,0.6544230436813797,0.44608059578821657,0.33532934131736525,0.4407808887294848,0.2679348349712696,0.11436560110131133,0.4000773790592304
19103,"Iowa, Johnson",0.4841762651222549,7,3,"-91.5875,41.6717",0.440192981423418,0.0785953177257525,0.7277482158077754,0.8593,1.0,0.6544230436813797,0.4444868582091192,0.377245508982036,0.38929338935206537,0.17782796045546556,0.14028204660915433,0.2836323570195402
20209,"Kansas, Wyandotte",0.6099910242443266,5,3,"-94.7638,39.1173",0.5829690746099389,0.146476642913698,0.7132492072160823,0.6686,1.0,0.8986900836467265,0.6747129674931698,0.4251497005988024,0.4191246507650109,0.4749328185912378,0.6573922294146436,0.32475027469342604
20091,"Kansas, Johnson",0.4361186314917872,8,10,"-94.8225,38.8855",0.3787763791412319,0.153295128939828,0.7188374538033272,0.0783,1.0,0.8986900836467265,0.41336461814524894,0.407185628742515,0.4752076683887773,0.15158415990768634,0.04324506694267705,0.4829594034947752
19113,"Iowa, Linn",0.4726674301338443,8,10,"-91.5981,42.0792",0.4796271952969116,0.107874865156419,0.7567756302694025,0.3938,1.0,0.6544230436813797,0.3953487524122528,0.4011976047904192,0.5166605513962695,0.3042139781717738,0.0419686433666265,0.38189850352888266
19163,"Iowa, Scott",0.4750653538880094,8,10,"-90.6196,41.6394",0.434148113550745,0.154078549848943,0.7415464798318219,0.3591,1.0,0.6544230436813797,0.4548758350546085,0.4371257485029941,0.5191044408593759,0.32952544841185905,0.1168742425864868,0.32666425174051256
19193,"Iowa, Woodbury",0.6043780433091571,10,9,"-96.0459,42.3898",0.8158967811393838,0.36320939334637997,0.6782553165600715,0.7911,1.0,0.6544230436813797,0.5756250709048315,0.3592814371257485,0.4965101409658336,0.3486638317768536,0.27617400073210363,0.30669210019198284
25017,"Massachusetts, Middlesex",0.4766370646320094,5,9,"-71.3905,42.4861",0.6454662838732225,0.14960778754370999,0.7420175907182572,0.8195,0.825,0.2822279606942842,0.3842149254056825,0.32934131736526945,0.504194780386106,0.1075748017611412,0.02603388563114671,0.4987768849666387
34021,"New Jersey, Mercer",0.5522995115462312,5,9,"-74.7048,40.2805",0.691500390773806,0.17090285357866802,0.7515274275555771,0.8672,1.0,0.34923015831005866,0.5862530127601022,0.34730538922155696,0.4990893333193936,0.2128075758722867,0.2515923977334417,0.4490723916632468
4027,"Arizona, Yuma",0.623971698351872,5,8,"-113.9067,32.769",0.6612002342435807,0.714925373134328,0.5401861216009525,0.9796,0.75,0.9379169046276228,0.4913814802479325,0.29940119760479045,0.579673914473061,0.337401537546801,0.6254268346225047,0.4963899329972435
5143,"Arkansas, Washington",0.5651027553731689,10,3,"-94.218,35.9768",0.5187407434096779,0.5752895752895749,0.6455934883290173,0.8825,1.0,0.7303941692505831,0.5101972448661501,0.4131736526946108,0.3995047625702957,0.31028428335026315,0.3763694572327035,0.4225414754040075
5131,"Arkansas, Sebastian",0.5010149697407212,3,4,"-94.2716,35.1961",0.18446526392373092,0.21052631578947398,0.6514281102269727,0.6998,1.0,0.7303941692505831,0.6139979932089248,0.4550898203592814,0.5166605513962695,0.41291233067928296,0.4519729519135091,0.3280097540402572
5031,"Arkansas, Craighead",0.5887483254242146,10,3,"-90.6324,35.8302",0.5470442668618652,0.47567567567567604,0.6165202680682118,0.9058,1.0,0.7303941692505831,0.5571524871570954,0.4670658682634731,0.4668944952995217,0.4543392210140129,0.3791646526187401,0.35314880227708545
5119,"Arkansas, Pulaski",0.5390403670349634,7,3,"-92.3136,34.7705",0.4689924960507898,0.20127388535031798,0.6963462517674563,0.631,1.0,0.7303941692505831,0.6190221214599879,0.4670658682634731,0.4990893333193936,0.39077201219637947,0.2769800615578968,0.3084331746394772
5007,"Arkansas, Benton",0.5053430826831767,8,10,"-94.2568,36.3364",0.511756139260908,0.566901408450704,0.6363369897931554,0.3136,1.0,0.7303941692505831,0.4685057417149416,0.44311377245508987,0.4612475416970637,0.2694307133699888,0.1730867468158369,0.5164636121308526
6001,"California, Alameda",0.5155329055242119,7,3,"-121.8929,37.6463",0.4862530862243069,0.27502634351949395,0.806575258901124,0.9159999999999999,0.75,0.6613931896418533,0.5803509862045476,0.44311377245508987,0.4612475416970637,0.08151175683296145,0.16391244483476056,0.4538209623294698
6059,"California, Orange",0.4989124139877766,7,9,"-117.7646,33.7015",0.5089005875554082,0.34370314842578703,0.8350019355765559,0.5683,0.825,0.6613931896418533,0.403880422408021,0.4550898203592814,0.4833394486037307,0.08936935040276893,0.2406761274823981,0.460503674542367
6013,"California, Contra Costa",0.4951727112610697,7,10,"-121.929,37.9192",0.4101758490366765,0.20666161998485996,0.7715544460771626,0.4795,1.0,0.6613931896418533,0.5594789321905729,0.5149700598802395,0.5117241638959221,0.13769884115624226,0.1674380575620418,0.5142615355504291
6023,"California, Humboldt",0.5098649770274218,6,5,"-123.876,40.6992",0.4220273257473007,0.387096774193548,0.5938769685665839,0.9042,0.575,0.6613931896418533,0.5453355114572181,0.34730538922155696,0.5517358041566147,0.28394504053503195,0.4245931422435978,0.4746209311105783
22071,"Louisiana, Orleans",0.5070307359058798,5,9,"-89.9266,30.0697",0.529587969667981,0.0389759815906803,0.7583014924976014,0.7771,0.575,0.3408621576166768,0.6356051663422082,0.3592814371257485,0.472457162859293,0.4071876844149029,0.4666202045433549,0.4040219569168361
21067,"Kentucky, Fayette",0.5389895677973525,7,3,"-84.4558,38.0368",0.5420673826127924,0.405492730210016,0.7416720815927029,0.7701,0.825,0.71482701882571,0.4890206717988517,0.4670658682634731,0.4467440848690857,0.3122134073156909,0.258783226370475,0.3080568335878551
21111,"Kentucky, Jefferson",0.5576899464081321,10,3,"-85.6593,38.1866",0.4995919307542959,0.19902439024390198,0.7758351410598529,0.7128,1.0,0.71482701882571,0.4918357827184908,0.592814371257485,0.5191044408593759,0.4077749842159752,0.2355685059556597,0.3441441264028227
22051,"Louisiana, Jefferson",0.5205825639506916,8,9,"-90.1112,29.7408",0.5945695391911183,0.0743653421633554,0.7312670549461351,0.461,1.0,0.3408621576166768,0.6209026220047699,0.29940119760479045,0.5380992168517501,0.41071751686721136,0.3807411206534055,0.4013692875588645
22033,"Louisiana, East Baton Rouge",0.5567468140312791,5,9,"-91.0978,30.5384",0.6630085314561479,0.298877731836976,0.7304355039992529,0.7593,1.0,0.3408621576166768,0.5921223589333904,0.3592814371257485,0.4668944952995217,0.3851487769861141,0.33695619049775705,0.36274812074733703
22055,"Louisiana, Lafayette",0.5236358414533714,8,9,"-92.0696,30.2049",0.522571767397212,0.23975720789074398,0.7099820371391503,0.8376,1.0,0.3408621576166768,0.5700979077974955,0.38323353293413176,0.4377631248108773,0.3214274765570003,0.32431336975703623,0.3877207782327435
22019,"Louisiana, Calcasieu",0.5190171846096242,8,3,"-93.354,30.2293",0.45942401780659003,0.132042253521127,0.6372907634993992,0.7829,1.0,0.3408621576166768,0.6073303430007575,0.3892215568862276,0.4939129750014257,0.4284500634265047,0.3974321927829611,0.3914671682586223
